PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Has_Cabin,Age_Group,Title,FamilySize,IsAlone,AgeGroup,FarePerPerson,FarePerPerson_Quintile,TicketFrequency,TicketFreq_Category,CabinDeck,Mother,NameLength,NameLength_Category,NameLength_Quintile,TicketPrefix,TicketPrefix_Category,Fare_log,FarePerPerson_log,Age_sqrt,NameLength_sqrt,FamilySize_Category,IsMinor,DeckCategory
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,F0,S,0,18-34,Mr,2,0,YoungAdult,7.25,Muy_Bajo,1,Individual,F,0,23,Corto,Q2,A_,Other,2.1102132003465894,2.1102132003465894,4.69041575982343,4.795831523312719,Pequeña,0,Inferior
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,1,35-59,Mrs,2,0,Adult,71.2833,Muy_Alto,1,Individual,C,0,51,Largo,Q5,PC,PC,4.2805931204649,4.2805931204649,6.164414002968976,7.14142842854285,Pequeña,0,Superior
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,F0,S,0,18-34,Miss,1,1,YoungAdult,7.925,Bajo,1,Individual,F,0,22,Corto,Q2,STON_O,Other,2.188856327665703,2.188856327665703,5.0990195135927845,4.69041575982343,Solo,0,Inferior
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,1,18-34,Mrs,2,0,Adult,26.55,Alto,2,Pareja,C,0,44,Medio,Q5,Numeric,Numeric,3.9908341858524357,3.3160025355989236,5.916079783099616,6.6332495807108,Pequeña,0,Superior
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,F0,S,0,18-34,Mr,1,1,Adult,8.05,Bajo,1,Individual,F,0,24,Corto,Q3,Numeric,Numeric,2.2027647577118348,2.2027647577118348,5.916079783099616,4.898979485566356,Solo,0,Inferior
6,0,3,"Moran, Mr. James",male,25.0,0,0,330877,8.4583,F0,Q,0,18-34,Mr,1,1,YoungAdult,8.4583,Medio,1,Individual,F,0,16,Muy_Corto,Q1,Numeric,Numeric,2.246892662898172,2.246892662898172,5.0,4.0,Solo,0,Inferior
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,1,35-59,Mr,1,1,MidAge,51.8625,Muy_Alto,1,Individual,E,0,23,Corto,Q2,Numeric,Numeric,3.967694202798607,3.967694202798607,7.3484692283495345,4.795831523312719,Solo,0,Media
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,F0,S,0,0-17,Master,5,0,Child,5.26875,Muy_Bajo,4,Grupo_Pequeño,F,0,30,Corto,Q4,Numeric,Numeric,3.0944457464900235,1.8355769727281086,1.4142135623730951,5.477225575051661,Grande,1,Inferior
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,F0,S,0,18-34,Mrs,3,0,YoungAdult,3.7111,Muy_Bajo,3,Grupo_Pequeño,F,1,49,Medio,Q5,Numeric,Numeric,2.495953738718064,1.5499214264083454,5.196152422706632,7.0,Pequeña,0,Inferior
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,F0,C,0,0-17,Mrs,2,0,Teen,15.0354,Alto,2,Pareja,F,0,35,Corto,Q5,Numeric,Numeric,3.436268471383741,2.774798778265854,3.7416573867739413,5.916079783099616,Pequeña,1,Inferior
